"","gene.id","gene.name","cds.id","chr","chr.coding.start","chr.coding.end","cds.start","cds.end","length","strand"
"1","SMEST076666001.1","MSTRG.22491","CDS346283","dd_Smes_g4_87",2174467,2176284,1,1818,1818,1
"2","SMEST076350026.1","MSTRG.22401","CDS343431","dd_Smes_g4_86",1921883,1924816,1,2934,2934,1
"3","SMEST075452001.1","MSTRG.22163","CDS334687","dd_Smes_g4_83",2403545,2404543,1,999,999,1
"4","SMEST072743001.1","MSTRG.21376","CDS310161","dd_Smes_g4_78",1883663,1885336,1,1674,1674,-1
"5","SMEST069665001.1","MSTRG.19210","CDS246222","dd_Smes_g4_6",7134914,7137535,1,2622,2622,1
"6","SMEST068518001.1","MSTRG.20344","CDS280311","dd_Smes_g4_69",1779835,1782369,1,2535,2535,1
"7","SMEST068517001.1","MSTRG.20342","CDS280310","dd_Smes_g4_69",1771100,1773628,1,2529,2529,-1
"8","SMEST066168002.1","MSTRG.19660","CDS258505","dd_Smes_g4_62",3312871,3315333,1,2463,2463,1
"9","SMEST060474001.1","MSTRG.18059","CDS215058","dd_Smes_g4_52",852550,854445,1,1896,1896,1
"10","SMEST060422001.1","MSTRG.17936","CDS211904","dd_Smes_g4_51",912629,916288,1,3660,3660,-1
"11","SMEST044635001.1","MSTRG.13755","CDS103220","dd_Smes_g4_31",354913,361896,1,6984,6984,1
"12","SMEST042620001.1","MSTRG.8642","CDS540559","dd_Smes_g4_2",974329,980667,1,6339,6339,-1
"13","SMEST035098001.1","MSTRG.10880","CDS26079","dd_Smes_g4_24",582730,585882,1,3153,3153,1
"14","SMEST034072001.1","MSTRG.11171","CDS31480","dd_Smes_g4_242",358971,361514,1,2544,2544,1
"15","SMEST030778001.1","MSTRG.9566","CDS568889","dd_Smes_g4_21",691154,693757,1,2604,2604,-1
"16","SMEST030605001.1","MSTRG.9683","CDS570045","dd_Smes_g4_21",4432964,4435354,1,2391,2391,1
"17","SMEST026496001.1","MSTRG.97","CDS570451","dd_Smes_g4_1",2168132,2175565,1,7434,7434,-1
"18","SMEST022552001.1","MSTRG.7975","CDS524847","dd_Smes_g4_188",498724,500601,1,1878,1878,-1
"19","SMEST020023001.1","MSTRG.7005","CDS496474","dd_Smes_g4_173",729957,731474,1,1518,1518,-1
"20","SMEST014113001.1","MSTRG.5006","CDS439841","dd_Smes_g4_149",340042,343332,1,3291,3291,-1
"21","SMEST009914001.1","MSTRG.3794","CDS406396","dd_Smes_g4_131",1568915,1570909,1,1995,1995,-1
"22","SMEST002813001.1","MSTRG.776","CDS519047","dd_Smes_g4_10",3477009,3478670,1,1662,1662,1
"23","SMEST000828001.1","MSTRG.1242","CDS65074","dd_Smes_g4_103",1325320,1327785,1,2466,2466,-1
"24","MSTRG.7372.3","MSTRG.7372","CDS506856","dd_Smes_g4_18",1992351,1995191,1,2841,2841,1
"25","MSTRG.6310.2","MSTRG.6310","CDS478485","dd_Smes_g4_163",302804,305413,1,2610,2610,1
"26","MSTRG.3726.2","MSTRG.3726","CDS404648","dd_Smes_g4_131",469112,471352,1,2241,2241,-1
"27","MSTRG.23082.3","MSTRG.23082","CDS359564","dd_Smes_g4_91",2267772,2273399,1,5628,5628,-1
"28","MSTRG.23066.1","MSTRG.23066","CDS359447","dd_Smes_g4_91",1940680,1942650,1,1971,1971,-1
"29","MSTRG.22460.4","MSTRG.22460","CDS345763","dd_Smes_g4_87",1148445,1151225,1,2781,2781,1
"30","MSTRG.22220.2","MSTRG.22220","CDS335862","dd_Smes_g4_84",1729296,1731911,1,2616,2616,-1
"31","MSTRG.21175.3","MSTRG.21175","CDS304512","dd_Smes_g4_76",2236175,2239738,1,3564,3564,1
"32","MSTRG.20195.1","MSTRG.20195","CDS276603","dd_Smes_g4_67",2828187,2831081,1,2895,2895,-1
"33","MSTRG.19492.1","MSTRG.19492","CDS254127","dd_Smes_g4_61",855168,857027,1,1860,1860,-1
"34","MSTRG.17218.1","MSTRG.17218","CDS193412","dd_Smes_g4_48",2546729,2550439,1,3711,3711,-1
"35","MSTRG.16612.8","MSTRG.16612","CDS174214","dd_Smes_g4_44",1996595,1999666,1,3072,3072,-1
"36","MSTRG.16445.3","MSTRG.16445","CDS170322","dd_Smes_g4_43",1347654,1351646,1,3993,3993,1
"37","MSTRG.14931.1","MSTRG.14931","CDS128496","dd_Smes_g4_36",4100334,4104422,1,4089,4089,-1
"38","MSTRG.14407.1","MSTRG.14407","CDS117746","dd_Smes_g4_34",450989,453478,1,2490,2490,-1
"39","MSTRG.10570.3","MSTRG.10570","CDS16212","dd_Smes_g4_23",5025873,5033858,1,7986,7986,-1
"40","MSTRG.10166.1","MSTRG.10166","CDS4626","dd_Smes_g4_22",5702063,5703637,1,1575,1575,-1
"41","MSTRG.10066.7","MSTRG.10066","CDS1832","dd_Smes_g4_22",2132957,2136310,1,3354,3354,-1
