"","gene.id","gene.name","cds.id","chr","chr.coding.start","chr.coding.end","cds.start","cds.end","length","strand"
"1","SMEST078787001.1","MSTRG.23119","CDS361009","dd_Smes_g4_92",929398,929715,1,318,318,1
"2","SMEST078787001.1","MSTRG.23119","CDS361010","dd_Smes_g4_92",930509,931651,1,1143,1143,1
"3","SMEST078600001.1","MSTRG.23076","CDS359521","dd_Smes_g4_91",2098339,2098422,1,84,84,1
"4","SMEST078345001.1","MSTRG.23002","CDS356898","dd_Smes_g4_90",2363509,2363928,1,420,420,-1
"5","SMEST078030001.1","MSTRG.21735","CDS323491","dd_Smes_g4_8",7350582,7351070,1,489,489,-1
"6","SMEST077896001.1","MSTRG.21679","CDS321874","dd_Smes_g4_8",5888550,5888726,1,177,177,1
"7","SMEST077615001.1","MSTRG.21582","CDS316318","dd_Smes_g4_8",2967188,2968492,1,1305,1305,1
"8","SMEST077270001.1","MSTRG.22659","CDS348689","dd_Smes_g4_89",2461680,2461970,1,291,291,1
"9","SMEST076098001.1","MSTRG.22254","CDS337174","dd_Smes_g4_85",538496,539596,1,1101,1101,1
"10","SMEST075200001.1","MSTRG.22008","CDS331154","dd_Smes_g4_82",673207,673614,1,408,408,1
"11","SMEST074496002.1","MSTRG.21867","CDS327295","dd_Smes_g4_80",2364971,2366083,1,1113,1113,1
"12","SMEST074111001.1","MSTRG.20559","CDS286578","dd_Smes_g4_7",7521962,7522249,1,288,288,-1
"13","SMEST072404001.1","MSTRG.21283","CDS307900","dd_Smes_g4_77",2176303,2177793,1,1491,1491,1
"14","SMEST071754001.1","MSTRG.21102","CDS303144","dd_Smes_g4_75",2333717,2334343,1,627,627,1
"15","SMEST070313001.1","MSTRG.20775","CDS295616","dd_Smes_g4_71",1162729,1163403,1,675,675,-1
"16","SMEST069806001.1","MSTRG.19267","CDS248176","dd_Smes_g4_6",8587725,8588114,1,390,390,1
"17","SMEST066593001.1","MSTRG.19709","CDS261267","dd_Smes_g4_63",1532507,1533604,1,1098,1098,1
"18","SMEST064981002.1","MSTRG.17711","CDS207399","dd_Smes_g4_5",9937990,9938319,1,330,330,1
"19","SMEST064359001.1","MSTRG.17526","CDS201886","dd_Smes_g4_5",4004109,4005089,1,981,981,-1
"20","SMEST064253001.1","MSTRG.17490","CDS201100","dd_Smes_g4_5",2968428,2969111,1,684,684,1
"21","SMEST062730002.1","MSTRG.18723","CDS234293","dd_Smes_g4_57",2149957,2151396,1,1440,1440,1
"22","SMEST060418001.1","MSTRG.17935","CDS211884","dd_Smes_g4_51",834196,834684,1,489,489,1
"23","SMEST059911001.1","MSTRG.17799","CDS209386","dd_Smes_g4_50",413521,415071,1,1551,1551,1
"24","SMEST059697001.1","MSTRG.17862","CDS210754","dd_Smes_g4_50",2517222,2517323,1,102,102,1
"25","SMEST059684001.1","MSTRG.17859","CDS210729","dd_Smes_g4_50",2397235,2398902,1,1668,1668,-1
"26","SMEST059236001.1","MSTRG.15767","CDS150354","dd_Smes_g4_4",7193412,7195589,1,2178,2178,-1
"27","SMEST056452001.1","MSTRG.17057","CDS189063","dd_Smes_g4_47",1184878,1185453,1,576,576,1
"28","SMEST055392001.1","MSTRG.16769","CDS180605","dd_Smes_g4_45",1151473,1152186,1,714,714,1
"29","SMEST054525001.1","MSTRG.16504","CDS171657","dd_Smes_g4_43",3436184,3437128,1,945,945,1
"30","SMEST054509001.1","MSTRG.16502","CDS171627","dd_Smes_g4_43",3313520,3316840,1,3321,3321,1
"31","SMEST052588001.1","MSTRG.16022","CDS156292","dd_Smes_g4_40",2999130,2999903,1,774,774,-1
